,MODEL_NAME,meta|index,BUCKET,DETAIL,VARIABLE,DECOMPOSED_VOLUME
79,Test 1,11,BASE,TREND,var|Unit|wk,-13.516239668741031
80,Test 1,11,INC,DISPLAY,var|Unit|display,0.0
81,Test 1,11,INC,FEATURE,var|Unit|feature,0.0
82,Test 1,11,BASE,UNEXPLAINED,resid,-55.592171491403164
83,Test 1,11,BASE,REFERENCE,small_base,4946.072130797458
84,Test 1,12,BASE,PRICE,var|Log|price,2404.270489909417
85,Test 1,12,BASE,DISTRIBUTION,var|Log|nupcs,4145.821121521592
86,Test 1,12,BASE,TREND,var|Unit|wk,-13.697876959432337
87,Test 1,12,INC,DISPLAY,var|Unit|display,0.0
88,Test 1,12,INC,FEATURE,var|Unit|feature,0.0
89,Test 1,12,BASE,UNEXPLAINED,resid,69.78158573096138
90,Test 1,12,BASE,REFERENCE,small_base,4946.072130797461
91,Test 1,13,BASE,PRICE,var|Log|price,3413.4141770197803
92,Test 1,13,BASE,DISTRIBUTION,var|Log|nupcs,-2726.6253614474344
93,Test 1,13,BASE,TREND,var|Unit|wk,-12.465855864969848
94,Test 1,13,INC,DISPLAY,var|Unit|display,0.0
95,Test 1,13,INC,FEATURE,var|Unit|feature,1578.6988565536917
96,Test 1,13,BASE,UNEXPLAINED,resid,-158.30328905852323
97,Test 1,13,BASE,REFERENCE,small_base,4946.072130797461
98,Test 1,14,BASE,PRICE,var|Log|price,10877.404967048566
99,Test 1,14,BASE,DISTRIBUTION,var|Log|nupcs,-4417.0820153272
100,Test 1,14,BASE,TREND,var|Unit|wk,-21.63592801349603
101,Test 1,14,INC,DISPLAY,var|Unit|display,0.0
102,Test 1,14,INC,FEATURE,var|Unit|feature,0.0
103,Test 1,14,BASE,UNEXPLAINED,resid,32.244376494680786
104,Test 1,14,BASE,REFERENCE,small_base,4946.072130797457
105,Test 1,15,BASE,PRICE,var|Log|price,-868.4152332985985
106,Test 1,15,BASE,DISTRIBUTION,var|Log|nupcs,-1834.878240148159
107,Test 1,15,BASE,TREND,var|Unit|wk,-9.586415509398776
108,Test 1,15,INC,DISPLAY,var|Unit|display,742.1536214176624
109,Test 1,15,INC,FEATURE,var|Unit|feature,1469.142690484145
110,Test 1,15,BASE,UNEXPLAINED,resid,75.67530225689272
111,Test 1,15,BASE,REFERENCE,small_base,4946.07213079746
112,Test 1,16,BASE,PRICE,var|Log|price,-495.87921881418225
113,Test 1,16,BASE,DISTRIBUTION,var|Log|nupcs,-1468.8969657475461
114,Test 1,16,BASE,TREND,var|Unit|wk,-8.153601495433458
115,Test 1,16,INC,DISPLAY,var|Unit|display,679.2287356437668
116,Test 1,16,INC,FEATURE,var|Unit|feature,0.0
117,Test 1,16,BASE,UNEXPLAINED,resid,46.111738615932
118,Test 1,16,BASE,REFERENCE,small_base,4946.072130797461
119,Test 1,17,BASE,PRICE,var|Log|price,-4163.947315985235
120,Test 1,17,BASE,DISTRIBUTION,var|Log|nupcs,3357.280246566384
121,Test 1,17,BASE,TREND,var|Unit|wk,-13.736661699446529
122,Test 1,17,INC,DISPLAY,var|Unit|display,0.0
123,Test 1,17,INC,FEATURE,var|Unit|feature,0.0
124,Test 1,17,BASE,UNEXPLAINED,resid,89.10458132083937
125,Test 1,17,BASE,REFERENCE,small_base,4946.072130797459
126,Test 1,18,BASE,PRICE,var|Log|price,-4829.764599442361
127,Test 1,18,BASE,DISTRIBUTION,var|Log|nupcs,3300.343315170949
128,Test 1,18,BASE,TREND,var|Unit|wk,-14.2307232418824
129,Test 1,18,INC,DISPLAY,var|Unit|display,0.0
130,Test 1,18,INC,FEATURE,var|Unit|feature,0.0
131,Test 1,18,BASE,UNEXPLAINED,resid,-8.592989284165807
132,Test 1,18,BASE,REFERENCE,small_base,4946.072130797458
133,Test 1,19,BASE,PRICE,var|Log|price,-1718.0525260924976
134,Test 1,19,BASE,DISTRIBUTION,var|Log|nupcs,-1173.9801643674807
135,Test 1,19,BASE,TREND,var|Unit|wk,-7.665502243170384
136,Test 1,19,INC,DISPLAY,var|Unit|display,0.0
137,Test 1,19,INC,FEATURE,var|Unit|feature,0.0
138,Test 1,19,BASE,UNEXPLAINED,resid,104.83695890568698
139,Test 1,19,BASE,REFERENCE,small_base,4946.072130797461
140,Test 1,20,BASE,PRICE,var|Log|price,-3568.947027051556
141,Test 1,20,BASE,DISTRIBUTION,var|Log|nupcs,971.1219266211863
142,Test 1,20,BASE,TREND,var|Unit|wk,-13.909159980402935
143,Test 1,20,INC,DISPLAY,var|Unit|display,0.0
144,Test 1,20,INC,FEATURE,var|Unit|feature,1475.6373282937764
145,Test 1,20,BASE,UNEXPLAINED,resid,-107.82793168046268
146,Test 1,20,BASE,REFERENCE,small_base,4946.072130797459
147,Test 1,21,BASE,PRICE,var|Log|price,-2124.305812944144
148,Test 1,21,BASE,DISTRIBUTION,var|Log|nupcs,-1529.937978952043
149,Test 1,21,BASE,TREND,var|Unit|wk,-10.987699936533984
150,Test 1,21,INC,DISPLAY,var|Unit|display,0.0
151,Test 1,21,INC,FEATURE,var|Unit|feature,1383.4453399657216
152,Test 1,21,BASE,UNEXPLAINED,resid,225.76465706953942
153,Test 1,21,BASE,REFERENCE,small_base,4946.072130797461
154,Test 1,22,BASE,PRICE,var|Log|price,-2235.4799594862193
155,Test 1,22,BASE,DISTRIBUTION,var|Log|nupcs,-1093.7325899065074
156,Test 1,22,BASE,TREND,var|Unit|wk,-8.211632137693663
157,Test 1,22,INC,DISPLAY,var|Unit|display,0.0
158,Test 1,22,INC,FEATURE,var|Unit|feature,0.0
159,Test 1,22,BASE,UNEXPLAINED,resid,-129.4214452670388
160,Test 1,22,BASE,REFERENCE,small_base,4946.07213079746
161,Test 1,23,BASE,PRICE,var|Log|price,-1304.504230683501
162,Test 1,23,BASE,DISTRIBUTION,var|Log|nupcs,-1331.7182565931967
163,Test 1,23,BASE,TREND,var|Unit|wk,-10.432642002742373
164,Test 1,23,INC,DISPLAY,var|Unit|display,673.4002505895172
165,Test 1,23,INC,FEATURE,var|Unit|feature,0.0
166,Test 1,23,BASE,UNEXPLAINED,resid,-89.95601510753909
167,Test 1,23,BASE,REFERENCE,small_base,4946.072130797461
168,Test 1,24,BASE,PRICE,var|Log|price,-924.879883450311
169,Test 1,24,BASE,DISTRIBUTION,var|Log|nupcs,3933.9254591047575
170,Test 1,24,BASE,TREND,var|Unit|wk,-23.730417989547004
171,Test 1,24,INC,DISPLAY,var|Unit|display,0.0
172,Test 1,24,INC,FEATURE,var|Unit|feature,1588.9507949618112
173,Test 1,24,BASE,UNEXPLAINED,resid,-21.726230424162633
174,Test 1,24,BASE,REFERENCE,small_base,4946.072130797461
175,Test 1,25,BASE,PRICE,var|Log|price,-4231.010858505009
176,Test 1,25,BASE,DISTRIBUTION,var|Log|nupcs,974.0975861990219
177,Test 1,25,BASE,TREND,var|Unit|wk,-17.528313384466472
178,Test 1,25,INC,DISPLAY,var|Unit|display,0.0
179,Test 1,25,INC,FEATURE,var|Unit|feature,1480.1588968311346
180,Test 1,25,BASE,UNEXPLAINED,resid,21.660451061856904
181,Test 1,25,BASE,REFERENCE,small_base,4946.07213079746
182,Test 1,26,BASE,PRICE,var|Log|price,-1641.971435571489
183,Test 1,26,BASE,DISTRIBUTION,var|Log|nupcs,960.7405309671724
184,Test 1,26,BASE,TREND,var|Unit|wk,-16.604160428464954
185,Test 1,26,INC,DISPLAY,var|Unit|display,737.4656864206954
186,Test 1,26,INC,FEATURE,var|Unit|feature,0.0
187,Test 1,26,BASE,UNEXPLAINED,resid,126.8274288146239
188,Test 1,26,BASE,REFERENCE,small_base,4946.072130797462
189,Test 1,27,BASE,PRICE,var|Log|price,-2513.129861157408
190,Test 1,27,BASE,DISTRIBUTION,var|Log|nupcs,-1236.1943728378617
191,Test 1,27,BASE,TREND,var|Unit|wk,-11.296303632570824
192,Test 1,27,INC,DISPLAY,var|Unit|display,673.4002505895172
193,Test 1,27,INC,FEATURE,var|Unit|feature,0.0
194,Test 1,27,BASE,UNEXPLAINED,resid,-180.6271547591378
195,Test 1,27,BASE,REFERENCE,small_base,4946.072130797461
